2026-08-20 14:20:54,215 | INFO     | saucedemo | ================================================================================
2026-08-20 14:20:54,215 | INFO     | saucedemo | 🚀 测试会话开始
2026-08-20 14:20:54,240 | INFO     | saucedemo | 🌐 网络诊断 https://www.saucedemo.com/: DNS=1.0ms, TCP连接=2.8ms, TTFB=20.8ms, 状态=OK
2026-08-20 14:20:54,360 | INFO     | saucedemo | ================================================================================
2026-08-20 14:20:54,360 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-20 14:20:54,360 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-20 14:20:54,361 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-20 14:20:54,362 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-20 14:20:55,437 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-20 14:20:55,708 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-20 14:20:55,709 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-20 14:20:55,846 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-20 14:20:55,938 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-20 14:20:56,108 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-20 14:21:16,817 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 1/3 次（20s），2.0s 后重试…
2026-08-20 14:21:39,191 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 2/3 次（20s），2.0s 后重试…
2026-08-20 14:22:01,585 | ERROR    | saucedemo | ❌ 等待超时 购物车角标数量 = 6 (单次 20s × 3 次共 60s，实际耗时 65.1s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-20 14:22:01,585 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-20 14:22:01,644 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-20 14:22:31,873 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-08-20 14:23:04,105 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-08-20 14:23:36,349 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.7s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-20 14:23:36,461 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
2026-08-20 14:23:36,524 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-20 14:23:36,612 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-20 14:23:36,643 | INFO     | saucedemo | ================================================================================
2026-08-20 14:23:39,646 | INFO     | saucedemo | ================================================================================
2026-08-20 14:23:39,646 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-20 14:23:39,648 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-20 14:23:39,648 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-20 14:23:39,648 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-20 14:23:40,543 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-20 14:23:40,901 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-20 14:23:40,902 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-20 14:23:41,061 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-20 14:23:41,148 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-20 14:23:41,319 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-20 14:24:02,008 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 1/3 次（20s），2.0s 后重试…
2026-08-20 14:24:24,387 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 2/3 次（20s），2.0s 后重试…
2026-08-20 14:24:46,779 | ERROR    | saucedemo | ❌ 等待超时 购物车角标数量 = 6 (单次 20s × 3 次共 60s，实际耗时 65.1s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-20 14:24:46,779 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-20 14:24:46,842 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-20 14:25:17,076 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-08-20 14:25:49,311 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-08-20 14:26:21,555 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.7s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-20 14:26:21,654 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
2026-08-20 14:26:21,679 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-20 14:26:21,743 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-20 14:26:21,776 | INFO     | saucedemo | ================================================================================
2026-08-20 14:26:24,778 | INFO     | saucedemo | ================================================================================
2026-08-20 14:26:24,779 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-20 14:26:24,779 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-20 14:26:24,779 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-20 14:26:24,779 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-20 14:26:25,703 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-20 14:26:25,973 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-20 14:26:25,973 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-20 14:26:26,140 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-20 14:26:26,241 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-20 14:26:26,400 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-20 14:26:47,091 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 1/3 次（20s），2.0s 后重试…
2026-08-20 14:27:09,470 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 2/3 次（20s），2.0s 后重试…
2026-08-20 14:27:31,866 | ERROR    | saucedemo | ❌ 等待超时 购物车角标数量 = 6 (单次 20s × 3 次共 60s，实际耗时 65.2s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-20 14:27:31,866 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-20 14:27:31,925 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-20 14:28:02,159 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-08-20 14:28:34,396 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-08-20 14:29:06,641 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.7s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-20 14:29:06,749 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
2026-08-20 14:29:06,774 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-20 14:29:06,854 | INFO     | saucedemo | 🛑 浏览器已安全退出
