2026-08-19 13:04:35,146 | INFO     | saucedemo | ================================================================================
2026-08-19 13:04:35,147 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-19 13:04:35,147 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-19 13:04:35,147 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-19 13:04:35,151 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-19 13:04:36,227 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-19 13:04:36,610 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-19 13:04:36,612 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-19 13:04:37,311 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-19 13:04:37,372 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-19 13:04:37,498 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-19 13:04:37,812 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-19 13:04:37,868 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-19 13:05:08,173 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-19 13:05:08,262 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-19 13:05:08,282 | INFO     | saucedemo | ================================================================================
2026-08-19 13:05:11,285 | INFO     | saucedemo | ================================================================================
2026-08-19 13:05:11,285 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-19 13:05:11,285 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-19 13:05:11,285 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-19 13:05:11,286 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-19 13:05:12,196 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-19 13:05:12,489 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-19 13:05:12,489 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-19 13:05:12,636 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-19 13:05:12,737 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-19 13:05:12,891 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-19 13:05:13,222 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-19 13:05:13,285 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-19 13:05:13,367 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'continue-shopping')
