2026-08-20 11:38:56,701 | INFO     | saucedemo | ================================================================================
2026-08-20 11:38:56,702 | INFO     | saucedemo | 🚀 测试会话开始
2026-08-20 11:38:56,732 | INFO     | saucedemo | 🌐 网络诊断 https://www.saucedemo.com/: DNS=1.3ms, TCP连接=3.8ms, TTFB=24.5ms, 状态=OK
2026-08-20 11:38:56,866 | INFO     | saucedemo | ================================================================================
2026-08-20 11:38:56,866 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-20 11:38:56,866 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-20 11:38:56,866 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-20 11:38:56,868 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-20 11:38:57,926 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-20 11:38:58,333 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-20 11:38:58,333 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-20 11:38:58,504 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-20 11:38:58,597 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-20 11:38:58,733 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-20 11:38:59,082 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-20 11:38:59,159 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-20 11:38:59,275 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'continue-shopping')
2026-08-20 11:38:59,292 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-20 11:38:59,380 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-20 11:38:59,390 | INFO     | saucedemo | ================================================================================
2026-08-20 11:38:59,393 | INFO     | saucedemo | ================================================================================
2026-08-20 11:38:59,393 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-20 11:38:59,393 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-20 11:38:59,393 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-20 11:38:59,394 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-20 11:39:00,288 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-20 11:39:00,585 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-20 11:39:00,586 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-20 11:39:00,740 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-20 11:39:00,859 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-20 11:39:01,030 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-20 11:39:21,832 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 1/3 次（20s），2.0s 后重试…
2026-08-20 11:39:44,287 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 2/3 次（20s），2.0s 后重试…
2026-08-20 11:40:06,755 | ERROR    | saucedemo | ❌ 等待超时 购物车角标数量 = 6 (单次 20s × 3 次共 60s，实际耗时 65.4s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-20 11:40:06,755 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-20 11:40:06,825 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-20 11:40:37,098 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-08-20 11:41:09,364 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-08-20 11:41:41,642 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.8s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
