2026-08-19 23:14:41,511 | INFO     | saucedemo | ================================================================================
2026-08-19 23:14:41,511 | INFO     | saucedemo | 🚀 测试会话开始
2026-08-19 23:14:41,534 | INFO     | saucedemo | 🌐 网络诊断 https://www.saucedemo.com/: DNS=1.2ms, TCP连接=3.1ms, TTFB=18.4ms, 状态=OK
2026-08-19 23:14:41,651 | INFO     | saucedemo | ================================================================================
2026-08-19 23:14:41,651 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-19 23:14:41,651 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-19 23:14:41,651 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-19 23:14:41,653 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-19 23:14:42,752 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-19 23:14:43,015 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-19 23:14:43,016 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-19 23:14:43,172 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-19 23:14:43,261 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-19 23:14:43,437 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-19 23:14:43,742 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-19 23:14:43,797 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-19 23:15:03,995 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-19 23:15:04,083 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-19 23:15:04,102 | INFO     | saucedemo | ================================================================================
2026-08-19 23:15:07,104 | INFO     | saucedemo | ================================================================================
2026-08-19 23:15:07,105 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-19 23:15:07,105 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-19 23:15:07,105 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-19 23:15:07,106 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-19 23:15:08,016 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-19 23:15:08,306 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-19 23:15:08,307 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-19 23:15:08,458 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-19 23:15:08,548 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-19 23:15:08,732 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-19 23:15:09,059 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-19 23:15:09,114 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
