2026-08-13 12:54:53,064 | INFO     | saucedemo | ================================================================================
2026-08-13 12:54:53,064 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:54:53,064 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:54:53,065 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:54:53,066 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:54:54,220 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:54:54,733 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:54:54,734 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 12:54:54,882 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 12:54:54,961 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 12:54:55,112 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 12:54:55,413 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-13 12:54:55,473 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 12:54:55,556 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'continue-shopping')
2026-08-13 12:54:55,565 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 12:54:55,672 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 12:54:55,681 | INFO     | saucedemo | ================================================================================
2026-08-13 12:54:55,684 | INFO     | saucedemo | ================================================================================
2026-08-13 12:54:55,684 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:54:55,684 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:54:55,685 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:54:55,685 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:54:56,667 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:54:57,134 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:54:57,135 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 12:54:57,274 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 12:54:57,361 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 12:54:57,503 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 12:54:57,802 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-13 12:54:57,860 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 12:54:57,931 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'checkout')
2026-08-13 12:54:57,943 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 12:54:58,039 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 12:54:58,048 | INFO     | saucedemo | ================================================================================
2026-08-13 12:54:58,051 | INFO     | saucedemo | ================================================================================
2026-08-13 12:54:58,051 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:54:58,051 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:54:58,051 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:54:58,052 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:54:59,052 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:54:59,518 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:54:59,518 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 12:54:59,662 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 12:54:59,741 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 12:54:59,882 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 12:55:00,177 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-13 12:55:00,236 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 12:55:02,534 | WARNING  | saucedemo | ⚠️ 元素未找到（等待 2s）('css selector', "[data-test='inventory-item-name']")
2026-08-13 12:55:04,553 | WARNING  | saucedemo | ⚠️ 元素未找到（等待 2s）('css selector', "[data-test='inventory-item-name']")
2026-08-13 12:55:04,555 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 12:55:04,638 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 12:55:04,648 | INFO     | saucedemo | ================================================================================
2026-08-13 12:55:04,651 | INFO     | saucedemo | ================================================================================
2026-08-13 12:55:04,652 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:55:04,652 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:55:04,652 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:55:04,653 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:55:05,640 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:55:06,045 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:55:06,045 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 12:55:06,204 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 12:55:06,298 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 12:55:06,460 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 12:55:06,772 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-13 12:55:06,833 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 12:55:06,922 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 12:55:07,021 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 12:55:07,031 | INFO     | saucedemo | ================================================================================
2026-08-13 12:55:07,033 | INFO     | saucedemo | ================================================================================
2026-08-13 12:55:07,034 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:55:07,034 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:55:07,034 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:55:07,035 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:55:07,970 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:55:08,482 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:55:08,483 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 12:55:08,657 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 12:55:08,722 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 12:55:08,847 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 12:55:09,142 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-13 12:55:09,200 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 12:55:09,286 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 12:55:09,369 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 12:55:09,378 | INFO     | saucedemo | ================================================================================
2026-08-13 12:55:09,381 | INFO     | saucedemo | ================================================================================
2026-08-13 12:55:09,381 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:55:09,382 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:55:09,382 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:55:09,382 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:55:10,363 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:55:10,798 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:55:10,801 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 12:55:10,959 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 12:55:11,037 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 12:55:11,172 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 12:55:11,495 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-13 12:55:11,553 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 12:55:11,637 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 12:55:11,717 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 12:55:11,727 | INFO     | saucedemo | ================================================================================
2026-08-13 12:55:11,730 | INFO     | saucedemo | ================================================================================
2026-08-13 12:55:11,730 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:55:11,730 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:55:11,730 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:55:11,730 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:55:12,682 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:55:13,235 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:55:13,236 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 12:55:13,380 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 12:55:13,440 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 12:55:13,551 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 12:55:13,841 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-13 12:55:13,899 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 12:55:13,983 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 12:55:14,064 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 12:55:14,073 | INFO     | saucedemo | ================================================================================
2026-08-13 12:55:14,075 | INFO     | saucedemo | ================================================================================
2026-08-13 12:55:14,076 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:55:14,076 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:55:14,076 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:55:14,076 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:55:15,067 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:55:15,551 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:55:15,552 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 12:55:15,698 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 12:55:15,783 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 12:55:15,907 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 12:55:16,199 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-13 12:55:16,257 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
