2026-08-13 06:55:59,619 | INFO     | saucedemo | ================================================================================
2026-08-13 06:55:59,619 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 06:55:59,619 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 06:55:59,620 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-13 06:55:59,620 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 06:56:00,759 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 06:56:01,086 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 06:56:01,087 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 06:56:01,193 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 06:56:01,240 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 06:56:01,326 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 06:56:01,454 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 3 件，进入购物车
2026-08-13 06:56:01,522 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 06:56:01,588 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'continue-shopping')
