2026-09-23 07:54:41,240 | INFO     | saucedemo | ================================================================================
2026-09-23 07:54:41,240 | INFO     | saucedemo | 🚀 测试会话开始
2026-09-23 07:54:41,291 | INFO     | saucedemo | 🌐 网络诊断 https://www.saucedemo.com/: DNS=0.9ms, TCP连接=13.4ms, TTFB=36.5ms, 状态=OK
2026-09-23 07:54:41,390 | INFO     | saucedemo | ================================================================================
2026-09-23 07:54:41,391 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-23 07:54:41,391 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-23 07:54:41,391 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-23 07:54:41,401 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-23 07:54:42,365 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-23 07:54:42,584 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-23 07:54:42,584 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-23 07:54:42,659 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-23 07:54:42,701 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-23 07:54:42,764 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-23 07:54:43,019 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-23 07:54:43,062 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-23 07:54:43,129 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'continue-shopping')
2026-09-23 07:54:43,646 | INFO     | saucedemo | 最终：<bound method BasePage.get_current_url of <pages.products_page.ProductsPage object at 0x7f06449da390>>
2026-09-23 07:54:43,649 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-23 07:54:43,715 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-23 07:54:43,728 | INFO     | saucedemo | ================================================================================
2026-09-23 07:54:43,730 | INFO     | saucedemo | ================================================================================
