2026-09-11 22:54:33,790 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:33,790 | INFO     | saucedemo | 🚀 测试会话开始
2026-09-11 22:54:33,815 | INFO     | saucedemo | 🌐 网络诊断 https://www.saucedemo.com/: DNS=1.3ms, TCP连接=3.2ms, TTFB=20.2ms, 状态=OK
2026-09-11 22:54:33,934 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:33,934 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 22:54:33,934 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 22:54:33,935 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 22:54:33,936 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 22:54:35,027 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 22:54:35,382 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 22:54:35,382 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 22:54:35,552 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 22:54:35,634 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 22:54:35,715 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 22:54:36,073 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 22:54:36,137 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 22:54:36,226 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'continue-shopping')
2026-09-11 22:54:36,239 | INFO     | saucedemo | 最终：<bound method BasePage.get_current_url of <pages.products_page.ProductsPage object at 0x7f849564e270>>
2026-09-11 22:54:36,244 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 22:54:36,331 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 22:54:36,340 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:36,343 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:36,343 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 22:54:36,343 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 22:54:36,343 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 22:54:36,344 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 22:54:37,270 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 22:54:37,630 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 22:54:37,631 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 22:54:37,797 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 22:54:37,873 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 22:54:37,967 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 22:54:38,305 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 22:54:38,366 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 22:54:38,456 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'checkout')
2026-09-11 22:54:38,478 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 22:54:38,558 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 22:54:38,567 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:38,570 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:38,570 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 22:54:38,571 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 22:54:38,571 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 22:54:38,571 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 22:54:39,510 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 22:54:39,863 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 22:54:39,864 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 22:54:40,040 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 22:54:40,124 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 22:54:40,216 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 22:54:40,603 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 22:54:40,676 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 22:54:42,793 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 22:54:42,859 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 22:54:42,869 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:42,871 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:42,871 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 22:54:42,872 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 22:54:42,872 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 22:54:42,872 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 22:54:43,777 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 22:54:44,077 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 22:54:44,078 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 22:54:44,678 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 22:54:44,732 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 22:54:44,814 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 22:54:45,146 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 22:54:45,208 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 22:54:45,303 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 22:54:45,385 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 22:54:45,394 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:45,397 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:45,397 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 22:54:45,397 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 22:54:45,397 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 22:54:45,397 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 22:54:46,317 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 22:54:46,666 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 22:54:46,666 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 22:54:46,825 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 22:54:46,900 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 22:54:46,993 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 22:54:47,348 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 22:54:47,417 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 22:54:47,528 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 22:54:47,608 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 22:54:47,617 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:47,620 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:47,620 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 22:54:47,620 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 22:54:47,620 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 22:54:47,620 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 22:54:48,700 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 22:54:49,124 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 22:54:49,125 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 22:54:49,255 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 22:54:49,325 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 22:54:49,424 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 22:54:49,765 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 22:54:49,828 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 22:54:49,919 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 22:54:50,000 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 22:54:50,009 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:50,012 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:50,012 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 22:54:50,012 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 22:54:50,013 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 22:54:50,013 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 22:54:50,933 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 22:54:51,216 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 22:54:51,218 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 22:54:51,825 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 22:54:51,881 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 22:54:51,962 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 22:54:52,300 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 22:54:52,365 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 22:54:52,460 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 22:54:52,542 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 22:54:52,551 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:52,554 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:52,554 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 22:54:52,554 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 22:54:52,554 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 22:54:52,555 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 22:54:53,484 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 22:54:53,848 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 22:54:53,848 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 22:54:54,019 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 22:54:54,111 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 22:54:54,211 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 22:54:54,589 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 22:54:54,659 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 22:54:54,765 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 22:54:54,848 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 22:54:54,857 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:54,860 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:54,860 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 22:54:54,860 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 22:54:54,860 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 22:54:54,861 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 22:54:55,785 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 22:54:56,125 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 22:54:56,125 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 22:54:56,291 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 22:54:56,390 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 22:54:56,529 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 22:54:56,931 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 22:54:57,005 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 22:54:57,106 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 22:54:57,204 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 22:54:57,213 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:57,216 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:57,216 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 22:54:57,216 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 22:54:57,216 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 22:54:57,216 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 22:54:58,198 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 22:54:58,663 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 22:54:58,663 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 22:54:58,801 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 22:54:58,865 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 22:54:58,948 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 22:54:59,185 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 3 件，进入购物车
2026-09-11 22:54:59,247 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 22:54:59,269 | INFO     | saucedemo | 💳 quick_setup_checkout: 进入结账 step one
2026-09-11 22:54:59,330 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'checkout')
2026-09-11 22:54:59,414 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'cancel')
2026-09-11 22:54:59,433 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 22:54:59,513 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 22:54:59,522 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:59,525 | INFO     | saucedemo | ================================================================================
2026-09-11 22:54:59,525 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 22:54:59,525 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 22:54:59,525 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 22:54:59,526 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
