2026-09-16 07:48:52,140 | INFO     | saucedemo | ================================================================================
2026-09-16 07:48:52,140 | INFO     | saucedemo | 🚀 测试会话开始
2026-09-16 07:48:52,257 | INFO     | saucedemo | 🌐 网络诊断 https://www.saucedemo.com/: DNS=0.9ms, TCP连接=14.4ms, TTFB=101.6ms, 状态=OK
2026-09-16 07:48:52,331 | INFO     | saucedemo | ================================================================================
2026-09-16 07:48:52,331 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-16 07:48:52,331 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-16 07:48:52,331 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-16 07:48:52,332 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-16 07:48:53,454 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-16 07:48:53,673 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-16 07:48:53,673 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-16 07:48:54,232 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-16 07:48:54,267 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-16 07:48:54,316 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-16 07:48:54,532 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-16 07:48:54,573 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-16 07:49:24,681 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-09-16 07:49:56,799 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-09-16 07:50:28,911 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.3s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-09-16 07:50:28,972 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
2026-09-16 07:50:29,013 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-16 07:50:29,130 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-16 07:50:29,156 | INFO     | saucedemo | ================================================================================
2026-09-16 07:50:32,157 | INFO     | saucedemo | ================================================================================
2026-09-16 07:50:32,158 | INFO     | saucedemo | ▶ 初始化 WebDriver
