2026-08-15 22:09:30,066 | INFO     | saucedemo | ================================================================================
2026-08-15 22:09:30,067 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-15 22:09:30,067 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-15 22:09:30,067 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-15 22:09:30,068 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-15 22:09:31,283 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-15 22:09:31,710 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-15 22:09:31,711 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-15 22:09:31,850 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-15 22:09:31,935 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-15 22:09:32,073 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-15 22:09:32,392 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-15 22:09:32,442 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-15 22:10:02,719 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-15 22:10:02,792 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-15 22:10:02,803 | INFO     | saucedemo | ================================================================================
2026-08-15 22:10:05,805 | INFO     | saucedemo | ================================================================================
2026-08-15 22:10:05,806 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-15 22:10:05,806 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-15 22:10:05,806 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-15 22:10:05,806 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-15 22:10:06,755 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-15 22:10:07,055 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-15 22:10:07,055 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-15 22:10:07,210 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-15 22:10:07,303 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-15 22:10:07,456 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-15 22:10:07,770 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-15 22:10:07,818 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-15 22:10:38,064 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-15 22:10:38,127 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-15 22:10:38,138 | INFO     | saucedemo | ================================================================================
2026-08-15 22:10:41,141 | INFO     | saucedemo | ================================================================================
2026-08-15 22:10:41,141 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-15 22:10:41,141 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-15 22:10:41,141 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-15 22:10:41,142 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-15 22:10:42,016 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-15 22:10:42,379 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-15 22:10:42,379 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-15 22:10:42,522 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-15 22:10:42,609 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-15 22:10:42,791 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-15 22:10:43,101 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-15 22:10:43,150 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-15 22:11:13,395 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-15 22:11:13,461 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-15 22:11:13,472 | INFO     | saucedemo | ================================================================================
2026-08-15 22:11:13,474 | INFO     | saucedemo | ================================================================================
2026-08-15 22:11:13,474 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-15 22:11:13,475 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-15 22:11:13,475 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-15 22:11:13,475 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-15 22:11:14,347 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-15 22:11:14,681 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-15 22:11:14,681 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-15 22:11:14,814 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-15 22:11:14,923 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-15 22:11:15,082 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-15 22:11:15,369 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-15 22:11:15,418 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-15 22:11:45,661 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-15 22:11:45,724 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-15 22:11:45,735 | INFO     | saucedemo | ================================================================================
2026-08-15 22:11:48,738 | INFO     | saucedemo | ================================================================================
2026-08-15 22:11:48,738 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-15 22:11:48,738 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-15 22:11:48,738 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-15 22:11:48,739 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-15 22:11:49,629 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-15 22:11:49,956 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-15 22:11:49,956 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
