2026-08-16 22:09:54,823 | INFO     | saucedemo | ================================================================================
2026-08-16 22:09:54,823 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-16 22:09:54,824 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-16 22:09:54,824 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-16 22:09:54,825 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-16 22:09:55,890 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-16 22:09:56,219 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-16 22:09:56,221 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-16 22:09:56,374 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-16 22:09:56,466 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-16 22:09:56,601 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-16 22:09:56,914 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-16 22:09:56,969 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-16 22:10:27,254 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-16 22:10:27,345 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-16 22:10:27,365 | INFO     | saucedemo | ================================================================================
2026-08-16 22:10:30,368 | INFO     | saucedemo | ================================================================================
2026-08-16 22:10:30,368 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-16 22:10:30,368 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-16 22:10:30,368 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-16 22:10:30,369 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-16 22:10:31,324 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-16 22:10:31,659 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-16 22:10:31,664 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-16 22:10:31,812 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-16 22:10:31,920 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-16 22:10:32,106 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-16 22:10:32,435 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-16 22:10:32,489 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-16 22:11:02,737 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-16 22:11:02,818 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-16 22:11:02,838 | INFO     | saucedemo | ================================================================================
2026-08-16 22:11:05,841 | INFO     | saucedemo | ================================================================================
2026-08-16 22:11:05,841 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-16 22:11:05,841 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-16 22:11:05,841 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-16 22:11:05,842 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-16 22:11:06,784 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-16 22:11:07,091 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-16 22:11:07,092 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-16 22:11:07,281 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-16 22:11:07,377 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
