2026-08-13 08:11:43,076 | INFO     | saucedemo | ================================================================================
2026-08-13 08:11:43,076 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 08:11:43,076 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 08:11:43,076 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-13 08:11:43,077 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 08:11:45,160 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 08:11:46,687 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 08:11:46,688 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 08:11:46,780 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 08:11:46,841 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 08:11:46,958 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 08:11:47,117 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 3 件，进入购物车
2026-08-13 08:11:47,217 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 08:11:47,301 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'continue-shopping')
2026-08-13 08:11:47,310 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 08:11:47,372 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 08:11:47,373 | INFO     | saucedemo | ================================================================================
2026-08-13 08:11:47,375 | INFO     | saucedemo | ================================================================================
2026-08-13 08:11:47,375 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 08:11:47,376 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 08:11:47,376 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-13 08:11:47,376 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 08:11:48,224 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 08:11:48,669 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 08:11:48,670 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 08:11:48,799 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 08:11:48,871 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 08:11:48,985 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 08:11:49,158 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 3 件，进入购物车
2026-08-13 08:11:49,246 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 08:11:49,316 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'checkout')
2026-08-13 08:11:49,334 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 08:11:49,396 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 08:11:49,396 | INFO     | saucedemo | ================================================================================
2026-08-13 08:11:49,398 | INFO     | saucedemo | ================================================================================
2026-08-13 08:11:49,399 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 08:11:49,399 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 08:11:49,399 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-13 08:11:49,399 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 08:11:50,267 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 08:11:50,728 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 08:11:50,728 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 08:11:50,843 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 08:11:50,914 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 08:11:51,025 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 08:11:51,397 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 08:12:01,617 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/test_cart_remove_one_item[0]_call_FAIL.png
2026-08-13 08:12:01,626 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 08:12:01,689 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 08:12:01,689 | INFO     | saucedemo | ================================================================================
2026-08-13 08:12:04,692 | INFO     | saucedemo | ================================================================================
2026-08-13 08:12:04,692 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 08:12:04,692 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 08:12:04,692 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-13 08:12:04,693 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 08:12:05,565 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 08:12:06,039 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 08:12:06,039 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 08:12:06,157 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 08:12:06,229 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 08:12:06,332 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 08:12:06,709 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 08:12:16,885 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/test_cart_remove_one_item[0]_call_FAIL.png
2026-08-13 08:12:16,894 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 08:12:16,956 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 08:12:16,956 | INFO     | saucedemo | ================================================================================
2026-08-13 08:12:19,959 | INFO     | saucedemo | ================================================================================
2026-08-13 08:12:19,959 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 08:12:19,959 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 08:12:19,959 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-13 08:12:19,959 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 08:12:20,814 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 08:12:21,239 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 08:12:21,240 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 08:12:21,379 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 08:12:21,457 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 08:12:21,575 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 08:12:21,941 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 08:12:32,114 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/test_cart_remove_one_item[0]_call_FAIL.png
2026-08-13 08:12:32,124 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 08:12:32,187 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 08:12:32,187 | INFO     | saucedemo | ================================================================================
2026-08-13 08:12:32,190 | INFO     | saucedemo | ================================================================================
