2026-08-20 12:34:55,129 | INFO     | saucedemo | ================================================================================
2026-08-20 12:34:55,129 | INFO     | saucedemo | 🚀 测试会话开始
2026-08-20 12:34:55,199 | INFO     | saucedemo | 🌐 网络诊断 https://www.saucedemo.com/: DNS=0.9ms, TCP连接=14.5ms, TTFB=53.9ms, 状态=OK
2026-08-20 12:34:55,278 | INFO     | saucedemo | ================================================================================
2026-08-20 12:34:55,278 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-20 12:34:55,278 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-20 12:34:55,278 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-20 12:34:55,279 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-20 12:34:56,840 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-20 12:34:57,131 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-20 12:34:57,133 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-20 12:34:57,208 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-20 12:34:57,260 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-20 12:34:57,363 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-20 12:35:17,664 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 1/3 次（20s），2.0s 后重试…
2026-08-20 12:35:39,793 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 2/3 次（20s），2.0s 后重试…
2026-08-20 12:36:01,931 | ERROR    | saucedemo | ❌ 等待超时 购物车角标数量 = 6 (单次 20s × 3 次共 60s，实际耗时 64.3s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-20 12:36:01,931 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-20 12:36:01,983 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-20 12:36:32,051 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-08-20 12:37:04,128 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-08-20 12:37:36,176 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.2s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-20 12:37:36,260 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
2026-08-20 12:37:36,296 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-20 12:37:36,364 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-20 12:37:36,379 | INFO     | saucedemo | ================================================================================
2026-08-20 12:37:39,382 | INFO     | saucedemo | ================================================================================
2026-08-20 12:37:39,382 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-20 12:37:39,382 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-20 12:37:39,382 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-20 12:37:39,382 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-20 12:37:40,205 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-20 12:37:40,457 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-20 12:37:40,458 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-20 12:37:40,591 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-20 12:37:40,654 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-20 12:37:40,759 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-20 12:38:01,103 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 1/3 次（20s），2.0s 后重试…
2026-08-20 12:38:23,277 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 2/3 次（20s），2.0s 后重试…
2026-08-20 12:38:45,433 | ERROR    | saucedemo | ❌ 等待超时 购物车角标数量 = 6 (单次 20s × 3 次共 60s，实际耗时 64.4s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-20 12:38:45,434 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-20 12:38:45,487 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-20 12:39:15,512 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-08-20 12:39:47,526 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-08-20 12:40:19,641 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.1s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-20 12:40:19,728 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
2026-08-20 12:40:19,749 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-20 12:40:20,207 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-20 12:40:20,224 | INFO     | saucedemo | ================================================================================
2026-08-20 12:40:23,226 | INFO     | saucedemo | ================================================================================
2026-08-20 12:40:23,226 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-20 12:40:23,227 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-20 12:40:23,227 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-20 12:40:23,227 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-20 12:40:24,042 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-20 12:40:24,447 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-20 12:40:24,449 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-20 12:40:24,531 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
