2026-08-13 12:52:44,194 | INFO     | saucedemo | ================================================================================
2026-08-13 12:52:44,194 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:52:44,194 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:52:44,195 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:52:44,196 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:52:45,361 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:52:45,797 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:52:45,797 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 12:52:45,932 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 12:52:46,015 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 12:52:46,157 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 12:52:46,442 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-13 12:52:46,499 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 12:52:46,578 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'continue-shopping')
2026-08-13 12:52:46,588 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 12:52:46,693 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 12:52:46,702 | INFO     | saucedemo | ================================================================================
2026-08-13 12:52:46,704 | INFO     | saucedemo | ================================================================================
2026-08-13 12:52:46,705 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:52:46,705 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:52:46,705 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:52:46,705 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:52:47,655 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:52:48,114 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:52:48,117 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 12:52:48,273 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 12:52:48,355 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 12:52:48,478 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 12:52:48,757 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-13 12:52:48,816 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 12:52:48,886 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'checkout')
2026-08-13 12:52:48,897 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 12:52:48,994 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 12:52:49,003 | INFO     | saucedemo | ================================================================================
2026-08-13 12:52:49,007 | INFO     | saucedemo | ================================================================================
2026-08-13 12:52:49,007 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:52:49,007 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:52:49,007 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:52:49,008 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:52:50,101 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:52:50,438 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
