2026-08-14 22:11:37,648 | INFO     | saucedemo | ================================================================================
2026-08-14 22:11:37,648 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-14 22:11:37,648 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-14 22:11:37,649 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-14 22:11:37,650 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-14 22:11:38,703 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-14 22:11:39,169 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-14 22:11:39,169 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-14 22:11:39,320 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-14 22:11:39,408 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-14 22:11:39,521 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-14 22:11:39,806 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-14 22:11:39,855 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-14 22:12:10,133 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-14 22:12:10,210 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-14 22:12:10,229 | INFO     | saucedemo | ================================================================================
2026-08-14 22:12:13,232 | INFO     | saucedemo | ================================================================================
2026-08-14 22:12:13,232 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-14 22:12:13,232 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-14 22:12:13,233 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-14 22:12:13,233 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-14 22:12:14,193 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-14 22:12:14,555 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-14 22:12:14,557 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-14 22:12:14,713 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-14 22:12:14,801 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-14 22:12:14,930 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-14 22:12:15,238 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-14 22:12:15,288 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-14 22:12:45,528 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-14 22:12:45,609 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-14 22:12:45,628 | INFO     | saucedemo | ================================================================================
2026-08-14 22:12:48,631 | INFO     | saucedemo | ================================================================================
2026-08-14 22:12:48,631 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-14 22:12:48,631 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-14 22:12:48,631 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-14 22:12:48,632 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-14 22:12:49,719 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-14 22:12:49,966 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-14 22:12:49,967 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-14 22:12:50,113 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-14 22:12:50,206 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-14 22:12:50,354 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-14 22:12:50,676 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-14 22:12:50,725 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-14 22:13:20,967 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-14 22:13:21,047 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-14 22:13:21,066 | INFO     | saucedemo | ================================================================================
2026-08-14 22:13:21,068 | INFO     | saucedemo | ================================================================================
2026-08-14 22:13:21,068 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-14 22:13:21,068 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-14 22:13:21,068 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-14 22:13:21,069 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-14 22:13:21,979 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-14 22:13:22,398 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-14 22:13:22,398 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-14 22:13:22,569 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-14 22:13:22,659 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-14 22:13:22,785 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-14 22:13:23,066 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-14 22:13:23,114 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-14 22:13:53,353 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-14 22:13:53,434 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-14 22:13:53,453 | INFO     | saucedemo | ================================================================================
2026-08-14 22:13:56,455 | INFO     | saucedemo | ================================================================================
2026-08-14 22:13:56,455 | INFO     | saucedemo | ▶ 初始化 WebDriver
