2026-09-11 07:32:28,598 | INFO     | saucedemo | ================================================================================
2026-09-11 07:32:28,598 | INFO     | saucedemo | 🚀 测试会话开始
2026-09-11 07:32:28,686 | INFO     | saucedemo | 🌐 网络诊断 https://www.saucedemo.com/: DNS=0.8ms, TCP连接=14.1ms, TTFB=72.4ms, 状态=OK
2026-09-11 07:32:28,786 | INFO     | saucedemo | ================================================================================
2026-09-11 07:32:28,786 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 07:32:28,786 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 07:32:28,786 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 07:32:28,794 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 07:32:29,901 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 07:32:30,197 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 07:32:30,197 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 07:32:30,317 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 07:32:30,392 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 07:32:30,464 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 07:32:51,077 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 1/3 次（20s），2.0s 后重试…
2026-09-11 07:33:13,415 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 2/3 次（20s），2.0s 后重试…
2026-09-11 07:33:35,773 | ERROR    | saucedemo | ❌ 等待超时 购物车角标数量 = 6 (单次 20s × 3 次共 60s，实际耗时 65.0s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-09-11 07:33:35,773 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 07:33:35,828 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 07:34:06,034 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-09-11 07:34:38,243 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-09-11 07:35:10,457 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.6s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-09-11 07:35:10,535 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
2026-09-11 07:35:10,576 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 07:35:10,644 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 07:35:10,661 | INFO     | saucedemo | ================================================================================
2026-09-11 07:35:13,664 | INFO     | saucedemo | ================================================================================
2026-09-11 07:35:13,664 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 07:35:13,664 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 07:35:13,664 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 07:35:13,665 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 07:35:14,582 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 07:35:14,927 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 07:35:14,927 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 07:35:15,504 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 07:35:15,550 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 07:35:15,624 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 07:35:36,244 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 1/3 次（20s），2.0s 后重试…
2026-09-11 07:35:58,576 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 2/3 次（20s），2.0s 后重试…
2026-09-11 07:36:20,925 | ERROR    | saucedemo | ❌ 等待超时 购物车角标数量 = 6 (单次 20s × 3 次共 60s，实际耗时 65.0s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-09-11 07:36:20,925 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 07:36:20,976 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 07:36:51,180 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-09-11 07:37:23,384 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-09-11 07:37:55,596 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.6s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-09-11 07:37:55,678 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
2026-09-11 07:37:55,699 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 07:37:55,762 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 07:37:55,779 | INFO     | saucedemo | ================================================================================
2026-09-11 07:37:58,782 | INFO     | saucedemo | ================================================================================
2026-09-11 07:37:58,782 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 07:37:58,782 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 07:37:58,782 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 07:37:58,783 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 07:37:59,609 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 07:37:59,944 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 07:37:59,945 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 07:38:00,077 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 07:38:00,137 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 07:38:00,210 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 07:38:20,838 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 1/3 次（20s），2.0s 后重试…
2026-09-11 07:38:43,176 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 2/3 次（20s），2.0s 后重试…
2026-09-11 07:39:05,527 | ERROR    | saucedemo | ❌ 等待超时 购物车角标数量 = 6 (单次 20s × 3 次共 60s，实际耗时 65.0s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-09-11 07:39:05,528 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 07:39:05,576 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 07:39:35,777 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-09-11 07:40:07,970 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-09-11 07:40:40,187 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.6s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-09-11 07:40:40,272 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
2026-09-11 07:40:40,291 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 07:40:40,551 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 07:40:40,569 | INFO     | saucedemo | ================================================================================
2026-09-11 07:40:43,572 | INFO     | saucedemo | ================================================================================
2026-09-11 07:40:43,572 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 07:40:43,572 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 07:40:43,572 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 07:40:43,572 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 07:40:44,430 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 07:40:44,650 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 07:40:44,651 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 07:40:45,241 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 07:40:45,288 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-11 07:40:45,359 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-11 07:40:45,643 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-11 07:40:45,699 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-11 07:40:45,778 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'continue-shopping')
2026-09-11 07:40:45,790 | INFO     | saucedemo | 最终：<bound method BasePage.get_current_url of <pages.products_page.ProductsPage object at 0x7fe4a4fe7e00>>
2026-09-11 07:40:45,794 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-11 07:40:46,021 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-11 07:40:46,026 | INFO     | saucedemo | ================================================================================
2026-09-11 07:40:46,028 | INFO     | saucedemo | ================================================================================
2026-09-11 07:40:46,028 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-11 07:40:46,028 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-11 07:40:46,028 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-11 07:40:46,028 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-11 07:40:46,848 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-11 07:40:47,161 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-11 07:40:47,161 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-11 07:40:47,278 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-11 07:40:47,348 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
