2026-09-17 07:57:43,857 | INFO     | saucedemo | ================================================================================
2026-09-17 07:57:43,857 | INFO     | saucedemo | 🚀 测试会话开始
2026-09-17 07:57:43,925 | INFO     | saucedemo | 🌐 网络诊断 https://www.saucedemo.com/: DNS=1.0ms, TCP连接=18.0ms, TTFB=48.4ms, 状态=OK
2026-09-17 07:57:44,005 | INFO     | saucedemo | ================================================================================
2026-09-17 07:57:44,005 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-17 07:57:44,005 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-17 07:57:44,005 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-17 07:57:44,006 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-17 07:57:45,150 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-17 07:57:45,476 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-17 07:57:45,478 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-17 07:57:45,552 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-17 07:57:45,597 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-17 07:57:45,658 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-17 07:57:46,396 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-17 07:57:46,438 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-17 07:57:47,004 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'continue-shopping')
2026-09-17 07:57:47,011 | INFO     | saucedemo | 最终：<bound method BasePage.get_current_url of <pages.products_page.ProductsPage object at 0x7f547d395970>>
2026-09-17 07:57:47,014 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-17 07:57:47,100 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-17 07:57:47,107 | INFO     | saucedemo | ================================================================================
2026-09-17 07:57:47,110 | INFO     | saucedemo | ================================================================================
2026-09-17 07:57:47,110 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-17 07:57:47,110 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-17 07:57:47,111 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-17 07:57:47,111 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-17 07:57:47,957 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-17 07:57:48,212 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-17 07:57:48,213 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-17 07:57:48,328 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-17 07:57:48,376 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-17 07:57:48,451 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-17 07:58:09,001 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 1/3 次（20s），2.0s 后重试…
2026-09-17 07:58:31,263 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 2/3 次（20s），2.0s 后重试…
2026-09-17 07:58:53,533 | ERROR    | saucedemo | ❌ 等待超时 购物车角标数量 = 6 (单次 20s × 3 次共 60s，实际耗时 64.8s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-09-17 07:58:53,533 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-17 07:58:53,570 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-17 07:59:23,749 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-09-17 07:59:55,923 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-09-17 08:00:28,106 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.5s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-09-17 08:00:28,171 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
2026-09-17 08:00:28,216 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-09-17 08:00:28,282 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-09-17 08:00:28,310 | INFO     | saucedemo | ================================================================================
2026-09-17 08:00:31,312 | INFO     | saucedemo | ================================================================================
2026-09-17 08:00:31,312 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-09-17 08:00:31,313 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-09-17 08:00:31,313 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-09-17 08:00:31,313 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-09-17 08:00:32,242 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-09-17 08:00:32,430 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-09-17 08:00:32,431 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-09-17 08:00:33,001 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-09-17 08:00:33,041 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-09-17 08:00:33,102 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-09-17 08:00:33,357 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-09-17 08:00:33,398 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-09-17 08:01:03,587 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-09-17 08:01:35,760 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-09-17 08:02:07,937 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.5s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-09-17 08:02:08,017 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
