2026-08-28 13:52:04,315 | INFO     | saucedemo | ================================================================================
2026-08-28 13:52:04,316 | INFO     | saucedemo | 🚀 测试会话开始
2026-08-28 13:52:04,337 | INFO     | saucedemo | 🌐 网络诊断 https://www.saucedemo.com/: DNS=1.3ms, TCP连接=2.6ms, TTFB=17.5ms, 状态=OK
2026-08-28 13:52:04,457 | INFO     | saucedemo | ================================================================================
2026-08-28 13:52:04,458 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-28 13:52:04,458 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-28 13:52:04,458 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-28 13:52:04,460 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-28 13:52:05,519 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-28 13:52:05,853 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-28 13:52:05,854 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-28 13:52:05,997 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-28 13:52:06,091 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-28 13:52:06,264 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-28 13:52:26,979 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 1/3 次（20s），2.0s 后重试…
2026-08-28 13:52:49,360 | WARNING  | saucedemo | ⚠️ 等待超时 购物车角标数量 = 6 第 2/3 次（20s），2.0s 后重试…
2026-08-28 13:53:11,758 | ERROR    | saucedemo | ❌ 等待超时 购物车角标数量 = 6 (单次 20s × 3 次共 60s，实际耗时 65.2s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-28 13:53:11,758 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-28 13:53:11,819 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-28 13:53:42,054 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 1/3 次（30s），2.0s 后重试…
2026-08-28 13:54:14,290 | WARNING  | saucedemo | ⚠️ 等待超时 URL 包含 'cart' 第 2/3 次（30s），2.0s 后重试…
2026-08-28 13:54:46,536 | ERROR    | saucedemo | ❌ 等待超时 URL 包含 'cart' (单次 30s × 3 次共 90s，实际耗时 94.7s)；URL=https://www.saucedemo.com/inventory.html, readyState=complete, windows=1, iframes=0
2026-08-28 13:54:46,638 | INFO     | saucedemo | 📸 截图保存: /__w/SauceDemo-TestAuto/SauceDemo-TestAuto/screenshots/url_timeout_cart.png
2026-08-28 13:54:46,701 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-28 13:54:46,773 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-28 13:54:46,806 | INFO     | saucedemo | ================================================================================
2026-08-28 13:54:49,809 | INFO     | saucedemo | ================================================================================
2026-08-28 13:54:49,809 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-28 13:54:49,809 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-28 13:54:49,809 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-28 13:54:49,810 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-28 13:54:50,733 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-28 13:54:51,056 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-28 13:54:51,057 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-28 13:54:51,211 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-28 13:54:51,299 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-28 13:54:51,480 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-28 13:54:51,813 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-28 13:54:51,883 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-28 13:54:51,978 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'continue-shopping')
2026-08-28 13:54:51,994 | INFO     | saucedemo | 最终：<bound method BasePage.get_current_url of <pages.products_page.ProductsPage object at 0x7fefb2071160>>
2026-08-28 13:54:51,998 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-28 13:54:52,079 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-28 13:54:52,088 | INFO     | saucedemo | ================================================================================
2026-08-28 13:54:52,091 | INFO     | saucedemo | ================================================================================
2026-08-28 13:54:52,091 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-28 13:54:52,091 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-28 13:54:52,092 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-28 13:54:52,092 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-28 13:54:52,993 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-28 13:54:53,394 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-28 13:54:53,395 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-28 13:54:53,538 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-28 13:54:53,619 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-28 13:54:53,782 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-28 13:54:54,103 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-28 13:54:54,171 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-28 13:54:54,255 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'checkout')
2026-08-28 13:54:54,278 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-28 13:54:54,357 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-28 13:54:54,366 | INFO     | saucedemo | ================================================================================
2026-08-28 13:54:54,369 | INFO     | saucedemo | ================================================================================
2026-08-28 13:54:54,369 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-28 13:54:54,369 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-28 13:54:54,370 | INFO     | saucedemo | 🐳 检测到容器环境，启用 --disable-dev-shm-usage
2026-08-28 13:54:54,370 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-28 13:54:55,277 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.169, 平台: linux, page_load_timeout: 90s, script_timeout: 60s
2026-08-28 13:54:55,559 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-28 13:54:55,559 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-28 13:54:55,705 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-28 13:54:55,800 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-28 13:54:55,980 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
