2026-08-13 12:25:57,280 | INFO     | saucedemo | ================================================================================
2026-08-13 12:25:57,281 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:25:57,281 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:25:57,281 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:25:57,282 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:25:58,237 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:25:58,754 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:25:58,754 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
2026-08-13 12:25:58,834 | INFO     | saucedemo | ⌨️ 输入文本 'standard_user' 到 ('id', 'user-name')
2026-08-13 12:25:58,881 | INFO     | saucedemo | ⌨️ 输入文本 'secret_sauce' 到 ('id', 'password')
2026-08-13 12:25:58,965 | INFO     | saucedemo | 🖱️ 已点击 ('id', 'login-button')
2026-08-13 12:25:59,195 | INFO     | saucedemo | 🛒 quick_setup_cart: 加购 6 件，进入购物车
2026-08-13 12:25:59,235 | INFO     | saucedemo | 🖱️ 已点击 ('css selector', "[data-test='shopping-cart-link']")
2026-08-13 12:26:29,467 | INFO     | saucedemo | ◀ 清理 WebDriver
2026-08-13 12:26:29,536 | INFO     | saucedemo | 🛑 浏览器已安全退出
2026-08-13 12:26:29,546 | INFO     | saucedemo | ================================================================================
2026-08-13 12:26:32,549 | INFO     | saucedemo | ================================================================================
2026-08-13 12:26:32,549 | INFO     | saucedemo | ▶ 初始化 WebDriver
2026-08-13 12:26:32,549 | INFO     | saucedemo | 📌 初始化浏览器: chrome, headless=True
2026-08-13 12:26:32,549 | INFO     | saucedemo | 🐳 检测到容器环境，启用容器稳定性参数(--no-zygote 等)
2026-08-13 12:26:32,550 | INFO     | saucedemo | 📌 使用 PATH 中的 chromedriver（容器镜像已内置）
2026-08-13 12:26:33,392 | INFO     | saucedemo | ✅ 浏览器启动成功, 版本: 151.0.7922.137, 平台: linux
2026-08-13 12:26:33,782 | INFO     | saucedemo | 🌐 已访问 https://www.saucedemo.com/
2026-08-13 12:26:33,784 | INFO     | saucedemo | 🔑 quick_login: user=standard_user
