"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","SauceDemo 电商网站自动化测试","0","关键字驱动冒烟","1","0","冒烟用例","0"
"0","SauceDemo 电商网站自动化测试","0","商品详情","7","0","详情页导航","0"
"2","SauceDemo 电商网站自动化测试","0","结账流程","0","0","Step Three 结账完成","0"
"1","SauceDemo 电商网站自动化测试","0","购物车管理","1","0","购物车基础操作","0"
"6","SauceDemo 电商网站自动化测试","0","购物车管理","2","0","移除商品","0"
"0","SauceDemo 电商网站自动化测试","0","用户认证","5","0","异常登录场景","0"
"0","SauceDemo 电商网站自动化测试","0","商品管理","7","0","加入购物车","0"
"0","SauceDemo 电商网站自动化测试","1","商品详情","5","0","详情页移除","0"
"0","SauceDemo 电商网站自动化测试","0","商品管理","12","0","跳转详情页","0"
"0","SauceDemo 电商网站自动化测试","0","商品管理","7","0","移除购物车","0"
"0","SauceDemo 电商网站自动化测试","0","用户认证","3","0","边界场景","0"
"0","SauceDemo 电商网站自动化测试","0","商品管理","4","0","排序功能","0"
"0","SauceDemo 电商网站自动化测试","0","商品管理","2","0","商品信息与系统操作","0"
"6","SauceDemo 电商网站自动化测试","0","结账流程","0","0","Step One 填写信息","0"
"0","SauceDemo 电商网站自动化测试","0","异常账户缺陷验证","4","0","已知缺陷回归","0"
"5","SauceDemo 电商网站自动化测试","0","商品详情","1","0","详情页加购","0"
"3","SauceDemo 电商网站自动化测试","0","购物车管理","3","0","跳转详情页","0"
"0","SauceDemo 电商网站自动化测试","0","用户认证","5","0","合法账号登录","0"
"3","SauceDemo 电商网站自动化测试","0","结账流程","3","0","Step Two 核对账单","0"
"0","SauceDemo 电商网站自动化测试","0","商品管理","2","0","退出登录","0"
"0","SauceDemo 电商网站自动化测试","0","商品管理","1","0","进入购物车","0"
